,name,company,year,Price,kms_driven,fuel_type
1004,Renault Duster 110PS,Renault,2012,421000,68000,Diesel
1005,Hyundai Accent Executive,Hyundai,2010,128000,73592,Lpg
1006,Honda City 1.5,Honda,2009,248000,114361,Petrol
1007,Maruti Ciaz ZDi,Maruti,2014,516000,84193,Diesel
1008,Volkswagen Ameo 1.2,Volkswagen,2017,525000,57000,Petrol
1009,Honda City i,Honda,2014,593000,48727,Petrol
1010,Maruti Brezza Zxi,Maruti,2022,1043000,6510,Petrol
1011,Honda Amaze S,Honda,2021,665000,33088,Petrol
1012,Skoda Rapid 1.6,Skoda,2011,245000,151434,Diesel
1013,Maruti Swift Dzire,Maruti,2017,547000,21166,Petrol
1014,Volkswagen Vento Diesel,Volkswagen,2012,250999,106647,Diesel
1015,Hyundai i10 Sportz,Hyundai,2014,276000,37930,Petrol
1016,Hyundai Grand i10,Hyundai,2014,301000,128281,Petrol
1017,Toyota Innova 2.5,Toyota,2010,469000,168062,Diesel
1018,Nissan Micra XL,Nissan,2019,493000,13333,Petrol
1019,Mahindra Xylo D4,Mahindra,2014,259000,151026,Diesel
1020,Skoda Superb Elegance,Skoda,2011,393000,134521,Diesel
1021,Skoda Rapid 1.6,Skoda,2012,290000,132996,Diesel
1022,BMW X4 M,BMW,2019,5650000,29000,Diesel
1023,Honda City ZX,Honda,2020,1292000,19534,Petrol
1024,Skoda Rapid 1.6,Skoda,2019,644000,88673,Petrol
1025,Hyundai i20 Asta,Hyundai,2020,1093000,32272,Petrol
1026,Volkswagen Polo 1.2,Volkswagen,2017,433000,26850,Petrol
1028,Hyundai EON Era,Hyundai,2015,246000,21796,Petrol
1029,Volkswagen Vento Diesel,Volkswagen,2012,269000,118881,Diesel
1030,Toyota Yaris G,Toyota,2018,775000,32039,Petrol
1031,Maruti Baleno 1.2,Maruti,2017,537000,124763,Petrol
1032,Mahindra Scorpio S8,Mahindra,2015,695000,201197,Diesel
1033,Mahindra XUV500 W10,Mahindra,2015,851000,81672,Diesel
1034,Maruti Swift Dzire,Maruti,2021,732000,20248,Petrol
1035,Maruti Wagon R,Maruti,2012,221000,73639,Petrol
1036,Maruti Wagon R,Maruti,2010,155000,82028,Petrol
1037,Honda Amaze S,Honda,2016,387000,32375,Petrol
1038,Maruti Ciaz ZDi,Maruti,2015,475000,182048,Diesel
1039,Land Rover Freelander,Land,2014,1328000,158108,Diesel
1040,Toyota Innova Crysta,Toyota,2016,1130000,74176,Diesel
1041,Skoda Rapid 1.0,Skoda,2020,903999,17805,Petrol
1042,Maruti Zen Estilo,Maruti,2009,131000,105209,Petrol
1044,Maruti Swift LDI,Maruti,2014,370000,93411,Diesel
1045,Tata Harrier XZ,Tata,2019,1452000,51954,Diesel
1046,Hyundai Verna 1.4,Hyundai,2013,386000,199085,Diesel
1047,Maruti Swift Dzire,Maruti,2011,247000,213709,Petrol
1048,Hyundai Grand i10,Hyundai,2013,265000,134698,Diesel
1049,Chevrolet Beat Diesel,Chevrolet,2012,107000,82983,Diesel
1050,Hyundai Grand i10,Hyundai,2013,296000,81678,Petrol
1052,Mahindra Thar CRDe,Mahindra,2018,782000,46994,Diesel
1053,Honda City i,Honda,2016,729000,19528,Petrol
1054,Tata Hexa XE,Tata,2017,725000,68315,Diesel
1055,Ford Ecosport 1.5,Ford,2017,582000,69720,Petrol
1056,Maruti SX4 S,Maruti,2016,515000,110655,Diesel
1057,Maruti Wagon R,Maruti,2009,107000,87100,Lpg
1058,Hyundai i20 Sportz,Hyundai,2013,319000,124012,Diesel
1059,Ford Figo Diesel,Ford,2010,134000,92251,Diesel
1061,Honda Mobilio V,Honda,2014,399000,141083,Diesel
1062,Maruti Swift LXI,Maruti,2014,325000,61802,Petrol
1063,Chevrolet Sail Hatchback,Chevrolet,2015,231000,147215,Diesel
1064,Maruti Ignis 1.2,Maruti,2017,443000,74295,Petrol
1065,Maruti Wagon R,Maruti,2017,349000,66290,Petrol
1066,Maruti Vitara Brezza,Maruti,2018,822000,92485,Diesel
1067,Maruti Baleno 1.2,Maruti,2018,536000,57563,Petrol
1068,Hyundai i10 Magna,Hyundai,2011,225000,30675,Petrol
1069,Maruti Swift Dzire,Maruti,2013,337000,58835,Petrol
1070,Volkswagen Polo Diesel,Volkswagen,2013,258000,122571,Diesel
1071,Hyundai Verna 1.6,Hyundai,2013,407000,116064,Diesel
1072,Ford Classic 1.4,Ford,2012,158000,128396,Diesel
1073,Mercedes-Benz G G63,Mercedes-Benz,2017,15200000,47000,Petrol
1074,Porsche Panamera GTS,Porsche,2019,17500000,10000,Petrol
1075,Chevrolet Beat LT,Chevrolet,2014,254999,37275,Petrol
1076,Mercedes-Benz E-Class Exclusive,Mercedes-Benz,2017,4400000,44000,Diesel
1077,Mercedes-Benz E-Class Exclusive,Mercedes-Benz,2017,4350000,39000,Diesel
1079,Mercedes-Benz GLC 200,Mercedes-Benz,2020,5650000,32000,Petrol
1080,Honda Amaze S,Honda,2018,500000,53931,Petrol
1081,Fiat Avventura MULTIJET,Fiat,2014,347000,73818,Diesel
1082,Honda Jazz 1.2,Honda,2017,690000,27200,Petrol
1083,Mahindra Thar CRDe,Mahindra,2017,772000,46365,Diesel
1084,Maruti Ciaz Alpha,Maruti,2019,872000,82496,Petrol
1085,Renault Duster 110PS,Renault,2016,651000,73656,Diesel
1086,Maruti Ciaz ZDi,Maruti,2016,543000,92530,Diesel
1087,Mahindra TUV 300,Mahindra,2017,658000,68364,Diesel
1088,Jeep Compass 1.4,Jeep,2018,1261000,30224,Petrol
1089,Maruti Baleno 1.2,Maruti,2017,585000,88658,Petrol
1090,Maruti Vitara Brezza,Maruti,2020,1053000,26396,Petrol
1091,Mahindra Thar CRDe,Mahindra,2017,746000,60020,Diesel
1092,Maruti Alto K10,Maruti,2014,268000,55107,Petrol
1093,Maruti Ciaz Alpha,Maruti,2022,1243000,3925,Petrol
1094,Maruti Alto 800,Maruti,2017,323000,21949,Petrol
1095,Maruti Swift Dzire,Maruti,2016,500000,41899,Petrol
1096,BMW 5 Series,BMW,2019,4600000,43000,Diesel
1097,Volvo XC60 D5,Volvo,2021,6100000,20000,Diesel
1098,Mercedes-Benz GLC 220d,Mercedes-Benz,2020,5650000,24000,Diesel
1099,Audi Q3 35,Audi,2015,1750000,39356,Diesel
1100,Mercedes-Benz S-Class S,Mercedes-Benz,2017,7150000,18000,Diesel
1101,Mercedes-Benz C-Class 220,Mercedes-Benz,2013,1375000,40000,Diesel
1102,Maruti Alto K10,Maruti,2016,315000,30555,Petrol
1103,Maruti Ciaz VDi,Maruti,2015,478000,119878,Diesel
1104,Hyundai i20 1.2,Hyundai,2011,243000,84557,Petrol
1105,Maruti Ciaz VDi,Maruti,2017,536000,96528,Diesel
1106,Mahindra XUV500 W10,Mahindra,2017,1124000,44081,Diesel
1107,Renault Kiger RXT,Renault,2021,775000,6494,Petrol
1108,Maruti Swift VDI,Maruti,2014,340000,118631,Diesel
1109,Maruti Alto K10,Maruti,2018,351000,47133,Petrol
1110,Honda Amaze S,Honda,2017,455999,94025,Petrol
1111,Hyundai i20 Magna,Hyundai,2016,501999,68841,Petrol
1112,Hyundai Venue SX,Hyundai,2019,1046000,31952,Petrol
1113,Hyundai Creta 1.6,Hyundai,2019,1130000,66518,Diesel
1114,Hyundai Venue SX,Hyundai,2019,1053000,26684,Petrol
1115,Hyundai Creta 1.6,Hyundai,2015,790000,38280,Diesel
1116,Tata Tiago 1.2,Tata,2017,377000,96392,Petrol
1117,Maruti Swift Dzire,Maruti,2011,286000,92613,Petrol
1118,Mahindra Scorpio S7,Mahindra,2018,1178000,40011,Diesel
1119,Honda City i,Honda,2015,533000,98772,Diesel
1120,Hyundai i20 Asta,Hyundai,2013,350000,38931,Diesel
1121,Maruti Swift LDI,Maruti,2017,426999,82392,Diesel
1122,Hyundai i20 1.4,Hyundai,2017,572000,96805,Diesel
1123,Mahindra Scorpio S5,Mahindra,2018,998000,68307,Diesel
1124,Maruti Wagon R,Maruti,2016,375000,30404,Petrol
1125,Maruti Baleno 1.2,Maruti,2018,630000,36438,Petrol
1126,Maruti Swift VDI,Maruti,2015,376000,115206,Diesel
1127,Mahindra XUV500 W6,Mahindra,2015,623000,104537,Diesel
1128,MG Hector Sharp,MG,2019,1613000,29827,Petrol
1129,Toyota Innova Crysta,Toyota,2017,1575000,55000,Diesel
1130,Audi A6 35,Audi,2016,2450000,68000,Diesel
1131,Ford Endeavour 3.2,Ford,2018,2875000,80000,Diesel
1132,Toyota Innova Crysta,Toyota,2019,1945000,55000,Diesel
1133,Hyundai EON Era,Hyundai,2013,229999,67885,Petrol
1134,Kia Seltos HTX,Kia,2021,1650000,28000,Petrol
1135,Hyundai EON 1.0,Hyundai,2013,229999,48421,Petrol
1136,Maruti Swift Dzire,Maruti,2014,425000,49000,Petrol
1137,Hyundai Verna 1.6,Hyundai,2013,450000,75000,Diesel
1138,BMW 5 Series,BMW,2018,4050000,55000,Diesel
1139,Honda Amaze S,Honda,2017,471000,6357,Petrol
1140,Hyundai Venue SX,Hyundai,2022,1024000,24237,Diesel
1141,Honda Amaze E,Honda,2020,589000,10282,Petrol
1142,Toyota Innova Crysta,Toyota,2018,1710000,111337,Diesel
1143,Hyundai Venue SX,Hyundai,2019,982000,64104,Diesel
1144,Hyundai Verna 1.6,Hyundai,2016,560000,42234,Diesel
1145,Audi Q5 30,Audi,2015,1475000,80000,Diesel
1146,Maruti Ignis Sigma,Maruti,2022,501999,2294,Petrol
1147,Maruti Baleno Delta,Maruti,2020,631000,38736,Petrol
1148,Hyundai i20 Asta,Hyundai,2014,381000,130432,Diesel
1149,Hyundai Venue SX,Hyundai,2021,1150000,10000,Petrol
1150,Toyota Fortuner 2.7,Toyota,2019,3100000,44000,Petrol
1151,Audi Q5 3.0,Audi,2011,994999,68000,Diesel
1152,Hyundai i10 Magna,Hyundai,2011,225000,38000,Petrol
1153,Audi Q5 3.0,Audi,2015,2100000,35000,Diesel
1154,Maruti Swift Dzire,Maruti,2019,650000,65000,Petrol
1155,Mahindra Scorpio S5,Mahindra,2022,1585000,12001,Diesel
1156,Hyundai Creta 1.6,Hyundai,2020,1425000,36000,Diesel
1157,Audi Q7 45,Audi,2014,1875000,43000,Diesel
1158,Volvo XC60 Inscription,Volvo,2020,6000000,7500,Diesel
1159,Audi Q3 2.0,Audi,2014,1300000,56500,Diesel
1160,Audi A6 35,Audi,2018,3675000,30000,Petrol
1161,Hyundai Verna CRDi,Hyundai,2017,1000000,63500,Diesel
1162,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2019,4100000,26500,Diesel
1163,BMW X1 xDrive,BMW,2018,2850000,38500,Diesel
1164,Mahindra XUV500 R,Mahindra,2015,890000,65000,Diesel
1165,Honda Amaze VX,Honda,2019,925000,44500,Diesel
1166,Hyundai i20 Sportz,Hyundai,2022,975000,15500,Diesel
1167,BMW X5 xDrive,BMW,2022,10000000,20500,Diesel
1168,Mercedes-Benz E-Class Expression,Mercedes-Benz,2018,4400000,65000,Petrol
1169,BMW 3 Series,BMW,2014,1850000,64593,Diesel
1170,Mercedes-Benz E-Class E250,Mercedes-Benz,2015,2200000,63203,Diesel
1171,Toyota Fortuner 2.8,Toyota,2017,2900000,60500,Diesel
1172,BMW 6 Series,BMW,2020,6050000,50000,Diesel
1173,Maruti Ertiga ZDI,Maruti,2014,600000,43000,Diesel
1174,Maruti Alto 800,Maruti,2021,307000,31458,Petrol
1175,Mercedes-Benz GLS 350d,Mercedes-Benz,2016,5200000,70000,Diesel
1176,Hyundai Elantra CRDi,Hyundai,2013,525000,70372,Diesel
1177,Maruti Wagon R,Maruti,2012,190000,129325,Cng
1179,Mercedes-Benz GLC 200,Mercedes-Benz,2021,6100000,15000,Petrol
1180,BMW X6 xDrive,BMW,2015,3790000,75000,Diesel
1181,Audi Q5 2.0,Audi,2014,1600000,94002,Diesel
1182,Mercedes-Benz C-Class C,Mercedes-Benz,2014,1190000,90004,Diesel
1183,Toyota Camry 2.5,Toyota,2017,2350000,47000,Petrol
1184,BMW X5 xDrive,BMW,2014,2900000,83005,Diesel
1185,Ford Ecosport 1.5,Ford,2015,475000,62500,Diesel
1186,Mercedes-Benz B Class,Mercedes-Benz,2013,1290000,67000,Petrol
1187,Mercedes-Benz GLE 250d,Mercedes-Benz,2016,3650000,64000,Diesel
1188,Maruti Swift ZXI,Maruti,2017,441000,39889,Petrol
1189,Audi A8 L,Audi,2015,4200000,81250,Diesel
1190,Jaguar F-Pace 2.0,Jaguar,2021,7400000,9900,Diesel
1191,Ford Ecosport 1.5,Ford,2016,525000,43000,Diesel
1192,MG Astor Sharp,MG,2022,1725000,2400,Petrol
1193,BMW X4 xDrive30i,BMW,2022,7450000,7600,Petrol
1194,Jaguar XJ 3.0L,Jaguar,2012,2290000,79004,Diesel
1195,Toyota Corolla Altis,Toyota,2015,875000,99300,Petrol
1196,Mercedes-Benz M-Class ML,Mercedes-Benz,2014,2190000,80000,Diesel
1197,Mercedes-Benz S-Class S,Mercedes-Benz,2015,5100000,40000,Diesel
1198,Land Rover Range,Land,2013,3525000,87002,Diesel
1199,Audi Q5 2.0,Audi,2013,1425000,94002,Diesel
1200,Audi A6 2.0,Audi,2013,1425000,82005,Diesel
1201,Toyota Camry Hybrid,Toyota,2019,4090000,20000,Petrol
1202,Land Rover Range,Land,2013,3975000,95004,Diesel
1203,BMW X1 sDrive20i,BMW,2019,2810000,68753,Petrol
1204,Ford Ecosport 1.5,Ford,2015,475000,62500,Diesel
1205,Jeep Compass 2.0,Jeep,2019,1575000,62000,Diesel
1206,Hyundai Creta 1.6,Hyundai,2017,894999,85000,Diesel
1207,Honda WR-V i-DTEC,Honda,2017,699000,58000,Diesel
1208,Maruti Baleno 1.3,Maruti,2018,620000,55500,Diesel
1209,Mercedes-Benz GLE 250d,Mercedes-Benz,2017,4400000,49000,Diesel
1210,Maruti Baleno 1.3,Maruti,2018,625000,54000,Diesel
1211,Tata Harrier XM,Tata,2019,1250000,32500,Diesel
1212,Tata Harrier XM,Tata,2019,1260000,33500,Diesel
1213,Mercedes-Benz E-Class Expression,Mercedes-Benz,2020,5800000,17000,Diesel
1214,MG ZS EV,MG,2020,2110000,38000,Electric
1215,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2018,3650000,16500,Petrol
1216,Mercedes-Benz E-Class Exclusive,Mercedes-Benz,2022,7625000,2000,Diesel
1217,Mini Cooper D,Mini,2014,1889999,29000,Diesel
1218,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2020,3900000,24000,Diesel
1219,Maruti Swift LXI,Maruti,2020,483000,37229,Petrol
1220,BMW X3 xDrive,BMW,2021,6000000,19000,Diesel
1221,Mahindra XUV500 W6,Mahindra,2013,430999,90928,Diesel
1222,Audi A3 35,Audi,2020,2580000,39000,Diesel
1223,Maruti Ertiga VXI,Maruti,2016,725000,44000,Cng
1224,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2021,4990000,12000,Petrol
1225,Ford Figo Diesel,Ford,2014,193000,86483,Diesel
1226,Honda City Edge,Honda,2019,900000,20000,Petrol
1227,Renault Duster Petrol,Renault,2017,575000,49000,Petrol
1228,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2021,4790000,12000,Petrol
1229,Toyota Innova Crysta,Toyota,2018,1875000,26000,Diesel
1230,Toyota Glanza G,Toyota,2020,606000,40252,Petrol
1231,Maruti Swift VDI,Maruti,2014,323000,97947,Diesel
1232,Land Rover Range,Land,2020,8500000,38000,Petrol
1233,Hyundai Creta 1.6,Hyundai,2015,716000,150715,Diesel
1234,Hyundai i10 Sportz,Hyundai,2010,158000,102820,Petrol
1235,Skoda New Laura,Skoda,2012,252999,109403,Diesel
1236,MG Gloster Savvy,MG,2021,3965000,11000,Diesel
1237,Maruti Ertiga VXI,Maruti,2019,858000,37377,Petrol
1238,Maruti Swift Dzire,Maruti,2015,367000,84728,Petrol
1239,Renault Duster 85PS,Renault,2013,324000,53548,Diesel
1240,Volvo S90 D4,Volvo,2018,4475000,20000,Diesel
1241,Audi A6 2.0,Audi,2014,1619000,29397,Diesel
1242,Hyundai Grand i10,Hyundai,2016,405999,30346,Petrol
1243,Mahindra XUV500 W10,Mahindra,2017,1063000,42119,Diesel
1244,Maruti Swift Dzire,Maruti,2014,327000,120450,Diesel
1245,Maruti Swift LDI,Maruti,2014,267000,148393,Diesel
1246,MG Hector Hybrid,MG,2020,1339000,21549,Petrol
1247,BMW X5 xDrive,BMW,2015,2975000,85000,Diesel
1248,Maruti Vitara Brezza,Maruti,2016,590000,90468,Diesel
1249,Honda Civic ZX,Honda,2019,1556000,20900,Petrol
1250,Hyundai Creta SX,Hyundai,2021,1387000,19234,Petrol
1251,Mercedes-Benz GLC Coupe,Mercedes-Benz,2021,7150000,24900,Diesel
1252,Tata Nexon 1.5,Tata,2018,875000,73269,Diesel
1253,Kia Seltos HTX,Kia,2020,1525000,48101,Diesel
1254,Kia Seltos GTX,Kia,2020,1495000,24001,Petrol
1255,Jaguar XF 2.0,Jaguar,2020,4700000,7500,Petrol
1256,Hyundai Alcazar Platinum,Hyundai,2022,1948999,9701,Petrol
1257,Tata Harrier XZA,Tata,2021,1989999,27133,Diesel
1258,Renault KWID Climber,Renault,2022,525000,18270,Petrol
1259,Toyota Land Cruiser,Toyota,2018,15800000,56000,Diesel
1260,Maruti Ciaz VXi,Maruti,2015,550000,50001,Petrol
1261,Maruti Swift VXI,Maruti,2018,560000,56681,Petrol
1262,Maruti Baleno Alpha,Maruti,2022,980000,2755,Petrol
1263,Maruti Baleno 1.2,Maruti,2017,650000,46201,Petrol
1264,Mahindra XUV500 W10,Mahindra,2016,950000,85001,Diesel
1265,Hyundai Grand i10,Hyundai,2015,465000,64836,Petrol
1266,Mercedes-Benz C-Class C,Mercedes-Benz,2022,6200000,4000,Diesel
1267,Hyundai Grand i10,Hyundai,2020,690000,24057,Petrol
1268,Hyundai Creta SX,Hyundai,2020,1695000,49559,Petrol
1269,Tata New Safari,Tata,2022,2350000,10289,Diesel
1270,Honda City i,Honda,2016,775000,64000,Petrol
1271,MG Hector Smart,MG,2019,1450000,54001,Diesel
1272,MG Hector Sharp,MG,2021,1825000,27779,Petrol
1273,Skoda Octavia 1.8,Skoda,2017,1349000,70000,Petrol
1274,Hyundai Creta 1.4,Hyundai,2017,835000,70000,Diesel
1275,Lexus NX 300h,Lexus,2019,4800000,49000,Petrol
1276,Volkswagen Polo 1.5,Volkswagen,2016,409999,115000,Diesel
1277,Mercedes-Benz S-Class S,Mercedes-Benz,2014,4775000,13000,Diesel
1278,Maruti XL6 Alpha,Maruti,2021,1200000,35000,Petrol
1279,Kia Seltos GTX,Kia,2021,1895000,3900,Petrol
1280,Toyota Corolla Altis,Toyota,2014,894999,63000,Petrol
1281,Mercedes-Benz GLS 400d,Mercedes-Benz,2020,11700000,15000,Diesel
1282,Audi A4 2.0,Audi,2014,1149000,60000,Diesel
1283,Mercedes-Benz C-Class C,Mercedes-Benz,2013,1245000,23000,Diesel
1284,BMW 5 Series,BMW,2022,6600000,6000,Petrol
1285,BMW X5 xDrive,BMW,2020,8300000,25000,Diesel
1286,Audi Q3 2.0,Audi,2014,1250000,64000,Diesel
1287,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2018,3600000,17000,Petrol
1288,Renault Duster 110PS,Renault,2016,695000,40000,Diesel
1289,Mahindra Thar LX,Mahindra,2020,1875000,30000,Diesel
1290,Honda Brio S,Honda,2012,260000,79000,Petrol
1291,MG Hector Sharp,MG,2020,1700000,26000,Petrol
1292,Honda Amaze S,Honda,2019,640000,25102,Petrol
1293,Audi Q7 45,Audi,2017,4600000,65000,Diesel
1294,Volkswagen Polo Petrol,Volkswagen,2014,390000,35000,Petrol
1295,Hyundai Grand i10,Hyundai,2014,340000,33000,Petrol
1296,Mercedes-Benz GLC 300,Mercedes-Benz,2019,4810000,29000,Petrol
1297,Mercedes-Benz GLS 350d,Mercedes-Benz,2016,5950000,45000,Diesel
1298,BMW X3 xDrive,BMW,2018,4500000,25500,Petrol
1299,Lexus NX 300h,Lexus,2019,4825000,48000,Petrol
1300,Toyota Fortuner 2.8,Toyota,2017,2445000,100000,Diesel
1301,BMW 5 Series,BMW,2019,4800000,29000,Diesel
1302,Nissan Sunny XV,Nissan,2012,285000,83000,Petrol
1303,Nissan Micra XV,Nissan,2011,200000,57000,Petrol
1304,Mahindra Thar 4X4,Mahindra,2014,590000,59000,Diesel
1305,Mercedes-Benz GLE 250d,Mercedes-Benz,2019,5600000,45000,Diesel
1306,Land Rover Range,Land,2014,2590000,69000,Diesel
1307,Land Rover Range,Land,2015,2990000,69000,Diesel
1308,Mercedes-Benz GL-Class 350,Mercedes-Benz,2015,3490000,79000,Diesel
1309,Bentley Flying Spur,Bentley,2013,6890000,44000,Petrol
1310,Mercedes-Benz GLC 220d,Mercedes-Benz,2017,3890000,69000,Diesel
1311,Audi A6 3.0,Audi,2013,1125000,68000,Diesel
1312,Toyota Fortuner 2.8,Toyota,2019,3100000,60000,Diesel
1313,Mercedes-Benz C-Class C,Mercedes-Benz,2011,825000,86000,Petrol
1314,Mitsubishi Pajero Sport,Mitsubishi,2017,1645000,39000,Diesel
1315,Hyundai Grand i10,Hyundai,2020,625000,12000,Petrol
1316,Honda Amaze EX,Honda,2014,360000,85000,Petrol
1317,Land Rover Discovery,Land,2016,2950000,120000,Diesel
1318,Maruti SX4 S,Maruti,2018,751000,90000,Diesel
1319,Mercedes-Benz GLS 400,Mercedes-Benz,2017,6250000,80000,Petrol
1320,BMW X5 xDrive,BMW,2019,5650000,34000,Diesel
1321,Maruti Ciaz VDi,Maruti,2015,465000,72000,Diesel
1322,MG Hector Plus,MG,2021,1900000,18000,Petrol
1323,Mercedes-Benz C-Class Progressive,Mercedes-Benz,2021,4790000,11000,Petrol
1324,Mercedes-Benz E-Class E250,Mercedes-Benz,2016,2590000,60625,Diesel
1325,Mercedes-Benz A Class,Mercedes-Benz,2017,1700000,68000,Petrol
1326,Maruti Baleno 1.2,Maruti,2016,525000,75000,Petrol
1327,Mercedes-Benz S-Class S,Mercedes-Benz,2015,4900000,70000,Petrol
1328,Audi Q3 2.0,Audi,2015,1589000,73000,Diesel
1329,Mercedes-Benz GLS 350d,Mercedes-Benz,2017,5885000,65000,Diesel
1330,Audi Q3 35,Audi,2015,1750000,70011,Diesel
1331,Land Rover Range,Land,2019,19200000,40000,Petrol
1332,Toyota Innova Crysta,Toyota,2017,1750000,67011,Diesel
1333,Skoda Yeti Ambition,Skoda,2013,325000,103000,Diesel
1334,Honda City i-VTEC,Honda,2017,949000,50000,Petrol
1335,Volvo XC60 B5,Volvo,2022,6850000,7000,Petrol
1336,Maruti Swift Dzire,Maruti,2019,640000,30000,Petrol
1337,Ford Endeavour Titanium,Ford,2018,3149000,44000,Diesel
1338,Mercedes-Benz GLC 300,Mercedes-Benz,2019,4800000,28500,Petrol
1339,Hyundai Creta SX,Hyundai,2021,1975000,8000,Petrol
1340,Maruti Swift VDI,Maruti,2019,590000,60000,Diesel
1341,Honda City V,Honda,2012,394000,70000,Petrol
1342,Maruti Ignis 1.2,Maruti,2018,434999,80000,Petrol
1343,BMW X1 sDrive,BMW,2019,3000000,25000,Diesel
1344,Honda City V,Honda,2022,1050000,2000,Petrol
1345,Maruti Alto 800,Maruti,2018,320000,35000,Petrol
1346,Toyota Innova Crysta,Toyota,2018,2000000,26000,Petrol
1347,Maserati Ghibli Diesel,Maserati,2016,6600000,12000,Diesel
1348,Mahindra Thar LX,Mahindra,2022,1775000,13001,Diesel
1349,Hyundai Xcent 1.2,Hyundai,2019,475000,60000,Petrol
1350,Mercedes-Benz C-Class C,Mercedes-Benz,2015,2150000,37000,Diesel
1351,Honda Jazz 1.2,Honda,2017,690000,27200,Petrol
1352,Mahindra Thar CRDe,Mahindra,2017,772000,46365,Diesel
1353,Maruti Ciaz Alpha,Maruti,2019,872000,82496,Petrol
1354,Renault Duster 110PS,Renault,2016,651000,73656,Diesel
1355,Maruti Ciaz ZDi,Maruti,2016,543000,92530,Diesel
1356,Mahindra TUV 300,Mahindra,2017,658000,68364,Diesel
1357,Jeep Compass 1.4,Jeep,2018,1261000,30224,Petrol
1358,Maruti Baleno 1.2,Maruti,2017,585000,88658,Petrol
1359,Maruti Vitara Brezza,Maruti,2020,1053000,26396,Petrol
1360,Mahindra Thar CRDe,Mahindra,2017,746000,60020,Diesel
1361,Maruti Alto K10,Maruti,2014,268000,55107,Petrol
1362,Maruti Ciaz Alpha,Maruti,2022,1243000,3925,Petrol
1363,Maruti Alto 800,Maruti,2017,323000,21949,Petrol
1364,Maruti Swift Dzire,Maruti,2016,500000,41899,Petrol
1365,Nissan Terrano XL,Nissan,2018,725000,30000,Petrol
1366,Honda City i-VTEC,Honda,2018,865000,28000,Petrol
1367,Volvo XC60 D5,Volvo,2021,6100000,20000,Diesel
1368,Mercedes-Benz GLC 220d,Mercedes-Benz,2020,5650000,24000,Diesel
1369,Mercedes-Benz GLE 300d,Mercedes-Benz,2021,8900000,13000,Diesel
1370,Skoda Superb Style,Skoda,2017,2175000,54000,Petrol
1371,Maruti Alto K10,Maruti,2016,315000,30555,Petrol
1372,Maruti Ciaz VDi,Maruti,2015,478000,119878,Diesel
1373,Hyundai i20 1.2,Hyundai,2011,243000,84557,Petrol
1374,Maruti Ciaz VDi,Maruti,2017,536000,96528,Diesel
1375,Mahindra XUV500 W10,Mahindra,2017,1124000,44081,Diesel
1376,Renault Kiger RXT,Renault,2021,775000,6494,Petrol
1377,Maruti Swift VDI,Maruti,2014,340000,118631,Diesel
1378,Maruti Alto K10,Maruti,2018,351000,47133,Petrol
1379,Honda Amaze S,Honda,2017,455999,94025,Petrol
1380,Hyundai i20 Magna,Hyundai,2016,501999,68841,Petrol
1381,Hyundai Venue SX,Hyundai,2019,1046000,31952,Petrol
1382,Hyundai Creta 1.6,Hyundai,2019,1130000,66518,Diesel
1383,Hyundai Venue SX,Hyundai,2019,1053000,26684,Petrol
1384,Hyundai Creta 1.6,Hyundai,2015,790000,38280,Diesel
1385,Tata Tiago 1.2,Tata,2017,377000,96392,Petrol
1386,Maruti Swift Dzire,Maruti,2011,286000,92613,Petrol
1387,Mahindra Scorpio S7,Mahindra,2018,1178000,40011,Diesel
1388,Honda City i,Honda,2015,533000,98772,Diesel
1389,Hyundai i20 Asta,Hyundai,2013,350000,38931,Diesel
1390,Maruti Swift LDI,Maruti,2017,426999,82392,Diesel
1391,Hyundai i20 1.4,Hyundai,2017,572000,96805,Diesel
1392,Mahindra Scorpio S5,Mahindra,2018,998000,68307,Diesel
1393,Maruti Wagon R,Maruti,2016,375000,30404,Petrol
1394,Maruti Baleno 1.2,Maruti,2018,630000,36438,Petrol
1395,Maruti Swift VDI,Maruti,2015,376000,115206,Diesel
1396,Mahindra XUV500 W6,Mahindra,2015,623000,104537,Diesel
1397,MG Hector Sharp,MG,2019,1613000,29827,Petrol
1398,BMW 3 Series,BMW,2020,4450000,9200,Diesel
1399,Audi Q3 35,Audi,2015,1750000,39356,Diesel
1400,Toyota Innova Crysta,Toyota,2017,1575000,55000,Diesel
1401,Ford Endeavour 3.2,Ford,2018,2875000,80000,Diesel
1402,Toyota Innova Crysta,Toyota,2019,1945000,55000,Diesel
1403,Mercedes-Benz S-Class S,Mercedes-Benz,2017,7150000,18000,Diesel
1404,Maruti Vitara Brezza,Maruti,2018,750000,43000,Diesel
1405,Hyundai Creta EX,Hyundai,2021,1273000,1000,Petrol
1406,Hyundai EON Era,Hyundai,2013,229999,67885,Petrol
1407,Mercedes-Benz C-Class 220,Mercedes-Benz,2013,1375000,40000,Diesel
1408,Hyundai EON 1.0,Hyundai,2013,229999,48421,Petrol
1409,Hyundai i20 Active,Hyundai,2018,650000,110000,Diesel
